,esp,fecha,nota,legajo,materia,nombre_de_,ingr,Carrera,Recibido,plan
0,8,03-Aug-85,5,3120,183,Computación,1981,Indeterminado,False,1995
1,8,20-Dec-82,6,3120,626,Física I,1981,Ingenieria Industrial,False,1995
2,81,16-Dec-94,9,7375,2112,Sistemas de Información I,1993,Indeterminado,False,1995
3,81,08-Mar-96,8,7375,2113,Sistemas de Información II,1993,Indeterminado,False,1995
4,81,28-Feb-96,5,7375,2114,Organización Industrial,1993,Indeterminado,False,1995
5,81,17-May-96,7,7375,2115,Economía de la Empresa I,1993,Indeterminado,False,1995
6,81,17-Jul-95,8,7375,2116,Diagramación Lógica,1993,Indeterminado,False,1995
7,81,13-Dec-95,6,7375,2117,Procesos Industriales II,1993,Indeterminado,False,1995
8,81,09-Aug-96,5,7375,2118,Investigación Operativa,1993,Indeterminado,False,1995
9,81,15-Jul-96,7,7375,2119,Costos,1993,Indeterminado,False,1995
10,81,07-Oct-96,8,7375,2120,Economía de la Empresa II,1993,Indeterminado,False,1995
11,81,20-Dec-96,6,7375,2121,Planificación de la Producción,1993,Indeterminado,False,1995
12,81,11-Dec-96,2,7375,2122,Computación I,1993,Indeterminado,False,1995
13,81,06-Aug-97,5,7375,2122,Computación I,1993,Indeterminado,False,1995
14,81,06-Aug-97,4,7375,2123,Estudio del Trabajo,1993,Indeterminado,False,1995
15,81,05-Mar-97,5,7375,2124,Instalaciones Industriales,1993,Indeterminado,False,1995
16,81,11-Dec-98,8,7375,2125,Evaluación de Proyectos,1993,Indeterminado,False,1995
17,81,16-Jul-97,8,7375,2126,Control de la Producción,1993,Indeterminado,False,1995
18,81,18-Mar-98,6,7375,2127,Computación II,1993,Indeterminado,False,1995
19,81,11-Dec-98,8,7375,2128,Seminario Final,1993,Indeterminado,False,1995
20,81,11-May-98,8,7375,2129,Legislación,1993,Indeterminado,False,1995
21,81,04-Mar-98,9,7375,2130,Relaciones Industriales,1993,Indeterminado,False,1995
22,81,15-Dec-97,7,7375,2131,Control de Gestión,1993,Indeterminado,False,1995
23,81,11-May-98,9,7375,2132,Higiene y Seguridad Industrial,1993,Indeterminado,False,1995
24,21,05-Jul-99,7,7433,211,Topografía y Geodesia,1994,Ingenieria Industrial,False,1995
25,21,05-Jul-99,7,7433,211,Topografía y Geodesia,1994,Ingenieria Industrial,False,1995
26,21,29-Nov-99,6,7433,224,Técnicas Constructivas II,1994,Administracion Rural,False,1995
27,21,26-Apr-99,8,7433,226,Diseño Arquitectónico y Planeamiento I,1994,Indeterminado,False,1995
